Sl. No.,Type of Vehicle,PM (g/km),NOx (g/km),CO (g/km),HC (g/km),CO2 (g/km)
1,Passenger Cars  <1600 CC (Petrol) BS III,0.001,0.0395,0.9838,0.0948,138.9405
2,Passenger Cars  <1600 CC (Diesel) BS III,0.0213,0.5483,0.3837,0.0753,137.6147
3,Passenger Cars  <1600 CC (CNG) BS III,0.0007,0.7863,3.434,0.679,135.7137
4,Passenger Cars  <1600 CC (Petrol) BS IV,0.0021,0.0683,0.8253,0.079,113.7857
5,Passenger Cars  <1600 CC (Diesel) BS IV,0.0228,0.4113,0.2988,0.0575,139.8605
6,Passenger Cars  <1600 CC (CNG) BS IV,0.0007,0.034,1.0205,0.188,101.5885
7,MUV Diesel < 3000 CC BSIV,0.0493,0.4787,0.474,0.0493,222.2923
8,MUV CNG < 3000 CC BSIV,0.0015,0.407,1.3447,0.4273,132.7353
9,HCV Diesel Bus >5000 CC BSIII,0.482,5.1715,4.7345,0.2118,711.117
10,HCV CNG Bus >5000 CC BSIII,0.0225,15.1555,9.221,7.8015,632.5695
